ID,Category,Report,Answers the question,Key metrics,Filters,Granularity,Data source,Priority,Status
1.1,Revenue & Sales,Daily revenue,How much did we make today?,"Gross revenue, net revenue, order count, AOV",Date,Day/week/month,Payment.status=CAPTURED minus REFUNDED,T1,Todo
1.2,Revenue & Sales,Revenue by package,Which packages drive revenue?,"Revenue, units sold, % of total","Date range, category",Package,Order joined to Package,T1,Todo
1.3,Revenue & Sales,Revenue by category,Wellness vs Cancer vs Cardiac etc.,"Revenue, AOV per category",Date range,Category,Order.package.category,T2,Todo
1.4,Revenue & Sales,Average order value (AOV),Premium or entry-level buying pattern?,AOV trend over time,Date range,Day/week,Order.total,T2,Todo
1.5,Revenue & Sales,Refund report,How much did we refund and why?,"Refund value, refund rate %, reason breakdown","Date range, reason",Day/month,"Payment.status IN (REFUNDED, PARTIALLY_REFUNDED)",T1,Todo
1.6,Revenue & Sales,Payment method mix,UPI vs card vs net-banking vs EMI,Count and value per method,Date range,Day/month,Payment.method,T2,Todo
1.7,Revenue & Sales,GST collected,For monthly GST filing,Total GST collected by SAC code,Month,Month,Order.total times GST rate,T1,Todo
1.8,Revenue & Sales,Counselling revenue,Separate from package revenue,"Sessions booked, revenue, completion rate",Date range,Day/week,Consultation,T2,Todo
2.1,Orders & Funnel,Orders by status,How many orders are stuck where?,"Count per status, % of total",Date range,Status,Order.status,T1,Partial
2.2,Orders & Funnel,Conversion funnel,Where do we lose people?,Visitors -> product views -> cart adds -> checkouts -> payments,"Date range, source",Stage,Server-side events plus Order,T1,Todo (needs analytics events)
2.3,Orders & Funnel,Cart abandonment,Who almost bought?,"Carts with no Order, recovery rate",Date range,Day,(NEW: AbandonedCart table),T2,Todo
2.4,Orders & Funnel,Stuck-order alert,Orders not progressing in N days,"Order ID, current status, days stuck, customer",None,Real-time list,Order + OrderEvent.createdAt,T1,Todo
2.5,Orders & Funnel,Cancellation reasons,Why are people cancelling?,"Count per reason, % of cancellations",Date range,Reason,Order.cancelReason,T2,Todo
2.6,Orders & Funnel,Order source / attribution,Which channel drives orders?,Orders + revenue per source,Date range,Source,"(NEW: Order.source, Order.utm_*)",T1,Todo
2.7,Orders & Funnel,First-order vs repeat,New customers vs existing?,"New customer count, repeat order rate",Date range,Day/month,Order joined to User.orders count,T2,Todo
3.1,Customer Demographics,Age group breakdown,Who is our customer?,"% per bucket: 18-25, 26-35, 36-45, 46-55, 56+","Date range, category",Bucket,(NEW: User.dateOfBirth),T1,Todo
3.2,Customer Demographics,Gender breakdown,Gender skew per category,% male / female / other,"Date range, category",Bucket,(NEW: User.gender),T1,Todo
3.3,Customer Demographics,Geographic distribution,Where are orders coming from?,Orders + revenue per state/city/pincode,Date range,State -> city -> pincode,Order.address.pincode joined to ServiceArea,T1,Todo
3.4,Customer Demographics,Top pincodes,Which pincodes are hot?,Top 20 pincodes by order count,Date range,Pincode,Order.address.pincode,T1,Todo
3.5,Customer Demographics,City expansion candidates,Where do we have demand but no service?,"Waitlist signups per pincode, organic traffic per city",Date range,Pincode/city,(NEW: Waitlist table or analytics),T2,Todo
3.6,Customer Demographics,Customer LTV,Lifetime value of a customer,"Avg lifetime spend, repeat purchase rate, time-to-second-purchase",Cohort month,User cohort,Order joined on User.createdAt cohort,T2,Todo
3.7,Customer Demographics,Acquisition cohort retention,Do January customers come back?,% of cohort with 2nd purchase by month,Cohort month,Month,User.createdAt + Order.createdAt,T3,Todo
4.1,Operations SLA,Dispatch SLA,How fast do we ship after booking?,Avg/p50/p95 hours BOOKED -> KIT_DISPATCHED,Date range,Order,OrderEvent time deltas,T1,Todo
4.2,Operations SLA,Kit delivery SLA,How long does kit take to reach customer?,Avg/p50/p95 days KIT_DISPATCHED -> KIT_DELIVERED,"Date range, pincode",Order,Shipment.leg=FORWARD deltas,T1,Todo
4.3,Operations SLA,Reverse pickup SLA,How fast does courier collect sample?,Avg hours KIT_DELIVERED -> SAMPLE_PICKED_UP,"Date range, pincode",Order,Shipment.leg=REVERSE,T1,Todo
4.4,Operations SLA,Sample-to-lab SLA,Reverse leg duration,Avg/p95 days SAMPLE_PICKED_UP -> AT_LAB,"Date range, pincode",Order,Shipment.leg=REVERSE deltas,T1,Todo
4.5,Operations SLA,Lab TAT,How long is the lab taking?,Avg/p50/p95 days AT_LAB -> REPORT_READY,"Date range, partner lab, package",Order,OrderEvent deltas,T1,Todo
4.6,Operations SLA,End-to-end TAT,Booking -> report-in-hand,Avg/p50/p95 days BOOKED -> REPORT_READY,"Date range, package, pincode",Order,OrderEvent deltas,T1,Todo
4.7,Operations SLA,Shipment failure rate,RTO / failed deliveries,"Failed shipments %, by courier, by reason","Date range, courier",Courier,"Shipment.status IN (RTO, FAILED)",T2,Todo
4.8,Operations SLA,Courier comparison,Which courier performs better?,"TAT, delivery rate, RTO rate per courier",Date range,Courier,Shipment.courier,T2,Todo
